DATE,FFWSJLOW
1936-05-24,.
1936-05-25,.
1936-05-26,.
1936-05-27,.
1936-05-28,.
1936-05-29,.
1936-05-30,.
1936-05-31,.
1936-06-01,.
1936-06-02,.
1936-06-03,.
1936-06-04,.
1936-06-05,.
1936-06-06,.
1936-06-07,.
1936-06-08,.
1936-06-09,.
1936-06-10,.
1936-06-11,.
1936-06-12,.
1936-06-13,.
1936-06-14,.
1936-06-15,.
1936-06-16,.
1936-06-17,.
1936-06-18,.
1936-06-19,.
1936-06-20,.
1936-06-21,.
1936-06-22,.
1936-06-23,.
1936-06-24,.
1936-06-25,.
1936-06-26,.
1936-06-27,.
1936-06-28,.
1936-06-29,.
1936-06-30,.
1936-07-01,.
1936-07-02,.
1936-07-03,.
1936-07-04,.
1936-07-05,.
1936-07-06,.
1936-07-07,.
1936-07-08,.
1936-07-09,.
1936-07-10,.
1936-07-11,.
1936-07-12,.
1936-07-13,.
1936-07-14,.
1936-07-15,.
1936-07-16,.
1936-07-17,.
1936-07-18,.
1936-07-19,.
1936-07-20,.
1936-07-21,.
1936-07-22,.
1936-07-23,.
1936-07-24,.
1936-07-25,.
1936-07-26,.
1936-07-27,.
1936-07-28,.
1936-07-29,.
